"parm","true","bias","rmse","coverage"
"b03",1.65,0.02,0.585,94.8
"b13",0.1,-0.03,0.411,98.9
"b23",-0.05,-0.035,0.238,95.8
"b33",0.1,-0.007,0.172,98.9
"b43",-0.7,-0.023,0.308,95.6
"b53",0.15,0.035,0.24,96.9
