"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
91,"b43",-0.7097,0.3729,500,-1.9,0.0576,0.05,-1.4423,0.02284
91,"b53",0.1251,0.1384,500,0.9,0.3667,0.05,-0.1469,0.397
92,"b03",1.0571,0.5676,500,1.86,0.0631,0.05,-0.05811,2.1723
92,"b13",0.04985,0.1785,500,0.28,0.7802,0.05,-0.3009,0.4006
92,"b23",-0.08658,0.1135,500,-0.76,0.4458,0.05,-0.3095,0.1364
92,"b33",0.07165,0.1063,500,0.67,0.5005,0.05,-0.1372,0.2805
92,"b43",-0.355,0.2135,500,-1.66,0.097,0.05,-0.7745,0.0645
92,"b53",0.2565,0.2805,500,0.91,0.361,0.05,-0.2947,0.8076
93,"b03",2.158,0.5896,500,3.66,3e-04,0.05,0.9996,3.3164
93,"b13",-0.144,0.5285,500,-0.27,0.7853,0.05,-1.1823,0.8943
93,"b23",-0.1548,0.3108,500,-0.5,0.6186,0.05,-0.7655,0.4559
93,"b33",0.08924,0.2519,500,0.35,0.7233,0.05,-0.4056,0.5841
93,"b43",-0.7271,0.34,500,-2.14,0.033,0.05,-1.3952,-0.05899
93,"b53",0.3602,0.2928,500,1.23,0.2191,0.05,-0.215,0.9354
94,"b03",2.3011,0.7189,500,3.2,0.0015,0.05,0.8886,3.7135
94,"b13",-1.0918,0.6169,500,-1.77,0.0774,0.05,-2.3037,0.1202
94,"b23",-0.2984,0.1837,500,-1.62,0.1051,0.05,-0.6594,0.06264
94,"b33",0.01853,0.14,500,0.13,0.8948,0.05,-0.2566,0.2936
94,"b43",-0.58,0.2663,500,-2.18,0.0299,0.05,-1.1033,-0.05679
94,"b53",0.5864,0.2612,500,2.25,0.0252,0.05,0.07322,1.0995
95,"b03",0.7393,0.6447,500,1.15,0.252,0.05,-0.5273,2.006
95,"b13",1.2371,0.6164,500,2.01,0.0453,0.05,0.02599,2.4481
95,"b23",-0.7322,0.3384,500,-2.16,0.0309,0.05,-1.397,-0.06745
95,"b33",0.1617,0.2966,500,0.55,0.5859,0.05,-0.421,0.7443
95,"b43",-0.7234,0.4219,500,-1.71,0.087,0.05,-1.5524,0.1055
95,"b53",0.0577,0.3304,500,0.17,0.8614,0.05,-0.5915,0.7069
96,"b03",2.4569,0.4619,500,5.32,"<.0001",0.05,1.5494,3.3644
96,"b13",0.4484,0.2589,500,1.73,"0.0839",0.05,-0.06027,0.9571
96,"b23",0.01743,0.1228,500,0.14,"0.8872",0.05,-0.2239,0.2588
96,"b33",-0.0994,0.1398,500,-0.71,"0.4775",0.05,-0.3741,0.1753
96,"b43",-0.7974,0.2253,500,-3.54,"0.0004",0.05,-1.24,-0.3547
96,"b53",0.4132,0.3429,500,1.2,"0.2288",0.05,-0.2606,1.087
97,"b03",0.1619,0.7783,500,0.21,0.8353,0.05,-1.3671,1.691
97,"b13",-0.1574,0.4818,500,-0.33,0.744,0.05,-1.1039,0.7891
97,"b23",-0.07665,0.2245,500,-0.34,0.7329,0.05,-0.5177,0.3644
97,"b33",-0.05819,0.1521,500,-0.38,0.7022,0.05,-0.357,0.2406
97,"b43",-0.05856,0.3206,500,-0.18,0.8552,0.05,-0.6885,0.5714
97,"b53",0.03337,0.1118,500,0.3,0.7654,0.05,-0.1863,0.253
98,"b03",1.0316,0.4578,500,2.25,0.0247,0.05,0.1322,1.931
98,"b13",0.4547,0.3327,500,1.37,0.1724,0.05,-0.1991,1.1084
98,"b23",0.1624,0.1713,500,0.95,0.3434,0.05,-0.1741,0.4989
98,"b33",-0.1214,0.1688,500,-0.72,0.4726,0.05,-0.453,0.2103
98,"b43",-0.784,0.327,500,-2.4,0.0169,0.05,-1.4263,-0.1416
98,"b53",0.03223,0.1521,500,0.21,0.8323,0.05,-0.2666,0.3311
99,"b03",2.5525,0.5858,500,4.36,"<.0001",0.05,1.4015,3.7036
99,"b13",-0.6461,0.5402,500,-1.2,"0.2323",0.05,-1.7074,0.4153
99,"b23",-0.2119,0.1826,500,-1.16,"0.2463",0.05,-0.5707,0.1468
99,"b33",0.000855,0.222,500,0,"0.9969",0.05,-0.4353,0.437
99,"b43",-0.9132,0.2685,500,-3.4,"0.0007",0.05,-1.4408,-0.3856
99,"b53",0.5793,0.2331,500,2.48,"0.0133",0.05,0.1213,1.0373
100,"b03",0.9725,0.4319,500,2.25,0.0248,0.05,0.124,1.821
100,"b13",0.07825,0.1582,500,0.49,0.621,0.05,-0.2325,0.389
100,"b23",0.04096,0.06456,500,0.63,0.5261,0.05,-0.08588,0.1678
100,"b33",0.0281,0.07844,500,0.36,0.7203,0.05,-0.126,0.1822
100,"b43",-0.3072,0.1707,500,-1.8,0.0725,0.05,-0.6426,0.02817
100,"b53",0.1936,0.2193,500,0.88,0.3778,0.05,-0.2373,0.6244
101,"b03",1.1899,0.5352,500,2.22,0.0266,0.05,0.1384,2.2415
101,"b13",0.3992,0.4754,500,0.84,0.4014,0.05,-0.5348,1.3333
101,"b23",-0.01695,0.1213,500,-0.14,0.889,0.05,-0.2554,0.2215
101,"b33",0.0154,0.107,500,0.14,0.8856,0.05,-0.1948,0.2255
101,"b43",-0.6962,0.3004,500,-2.32,0.0209,0.05,-1.2864,-0.106
101,"b53",-0.03618,0.178,500,-0.2,0.8391,0.05,-0.386,0.3136
102,"b03",1.3166,0.4855,500,2.71,0.0069,0.05,0.3627,2.2705
102,"b13",0.4451,0.3824,500,1.16,0.2449,0.05,-0.3061,1.1963
102,"b23",0.228,0.1969,500,1.16,0.2474,0.05,-0.1588,0.6149
102,"b33",-0.02943,0.1692,500,-0.17,0.862,0.05,-0.3619,0.303
102,"b43",-1.192,0.3895,500,-3.06,0.0023,0.05,-1.9572,-0.4267
102,"b53",0.2174,0.1761,500,1.23,0.2176,0.05,-0.1286,0.5635
103,"b03",1.7453,0.4601,500,3.79,2e-04,0.05,0.8413,2.6494
103,"b13",0.2515,0.2883,500,0.87,0.3833,0.05,-0.3149,0.818
103,"b23",0.1315,0.2954,500,0.45,0.6564,0.05,-0.4489,0.7118
103,"b33",0.1967,0.1179,500,1.67,0.0958,0.05,-0.03488,0.4282
103,"b43",-0.7725,0.4858,500,-1.59,0.1124,0.05,-1.7271,0.182
103,"b53",0.2233,0.1121,500,1.99,0.0468,0.05,0.003126,0.4435
104,"b03",1.6957,0.5022,500,3.38,8e-04,0.05,0.7091,2.6823
104,"b13",0.4735,0.3629,500,1.3,0.1925,0.05,-0.2394,1.1864
104,"b23",0.2514,0.2065,500,1.22,0.2241,0.05,-0.1544,0.6571
104,"b33",0.3237,0.1785,500,1.81,0.0703,0.05,-0.02693,0.6744
104,"b43",-1.2318,0.4053,500,-3.04,0.0025,0.05,-2.0281,-0.4355
104,"b53",0.2772,0.1718,500,1.61,0.1073,0.05,-0.06038,0.6148
105,"b03",1.5229,0.4987,500,3.05,0.0024,0.05,0.5432,2.5026
105,"b13",-0.07041,0.3219,500,-0.22,0.8269,0.05,-0.7028,0.562
105,"b23",-0.03662,0.1068,500,-0.34,0.7318,0.05,-0.2464,0.1732
105,"b33",0.1152,0.1381,500,0.83,0.4045,0.05,-0.1561,0.3866
105,"b43",-0.497,0.1644,500,-3.02,0.0026,0.05,-0.8199,-0.174
105,"b53",0.222,0.2403,500,0.92,0.3561,0.05,-0.2502,0.6941
106,"b03",2.3625,0.7263,500,3.25,0.0012,0.05,0.9355,3.7895
106,"b13",-0.3212,0.4707,500,-0.68,0.4954,0.05,-1.2459,0.6036
106,"b23",0.2727,0.2202,500,1.24,0.2162,0.05,-0.16,0.7054
106,"b33",0.06499,0.1859,500,0.35,0.7268,0.05,-0.3003,0.4303
106,"b43",-1.1183,0.3996,500,-2.8,0.0053,0.05,-1.9033,-0.3332
106,"b53",0.2132,0.2051,500,1.04,0.2992,0.05,-0.1898,0.6161
107,"b03",0.7201,0.6229,500,1.16,0.2482,0.05,-0.5037,1.944
107,"b13",0.01598,0.1066,500,0.15,0.8809,0.05,-0.1935,0.2255
107,"b23",-0.04933,0.06466,500,-0.76,0.4459,0.05,-0.1764,0.07772
107,"b33",-0.08395,0.1971,500,-0.43,0.6704,0.05,-0.4712,0.3033
107,"b43",-0.3832,0.3144,500,-1.22,0.2235,0.05,-1.001,0.2346
107,"b53",-0.04295,0.105,500,-0.41,0.6828,0.05,-0.2493,0.1634
108,"b03",2.0744,0.51,500,4.07,"<.0001",0.05,1.0724,3.0763
108,"b13",0.2189,0.2314,500,0.95,"0.3447",0.05,-0.2358,0.6737
108,"b23",-0.09457,0.2066,500,-0.46,"0.6473",0.05,-0.5004,0.3113
108,"b33",0.1784,0.09881,500,1.81,"0.0715",0.05,-0.0157,0.3726
108,"b43",-0.8634,0.2364,500,-3.65,"0.0003",0.05,-1.3278,-0.399
108,"b53",0.3425,0.1233,500,2.78,"0.0057",0.05,0.1003,0.5846
109,"b03",2.9242,0.8547,500,3.42,7e-04,0.05,1.245,4.6034
109,"b13",-0.8057,0.6241,500,-1.29,0.1973,0.05,-2.0318,0.4204
109,"b23",-0.1387,0.1686,500,-0.82,0.4111,0.05,-0.4698,0.1925
109,"b33",-0.00466,0.1303,500,-0.04,0.9715,0.05,-0.2606,0.2513
109,"b43",-0.7506,0.2168,500,-3.46,6e-04,0.05,-1.1765,-0.3246
109,"b53",0.6215,0.327,500,1.9,0.0579,0.05,-0.0209,1.2639
110,"b03",1.5269,0.5246,500,2.91,0.0038,0.05,0.4963,2.5576
110,"b13",-0.2583,0.3893,500,-0.66,0.5073,0.05,-1.0233,0.5066
110,"b23",0.3772,0.2379,500,1.59,0.1134,0.05,-0.09016,0.8446
110,"b33",0.4513,0.2273,500,1.99,0.0477,0.05,0.004611,0.8979
110,"b43",-0.7303,0.313,500,-2.33,0.02,0.05,-1.3453,-0.1154
110,"b53",0.002705,0.1984,500,0.01,0.9891,0.05,-0.3871,0.3925
111,"b03",1.0905,0.6041,500,1.81,0.0717,0.05,-0.09643,2.2775
111,"b13",-0.1211,0.1556,500,-0.78,0.4368,0.05,-0.4268,0.1846
111,"b23",-0.04997,0.07324,500,-0.68,0.4954,0.05,-0.1939,0.09393
111,"b33",0.05654,0.06715,500,0.84,0.4002,0.05,-0.07539,0.1885
111,"b43",-0.4246,0.2904,500,-1.46,0.1444,0.05,-0.9951,0.146
