"parm","true","bias","rmse","coverage"
"b01",-2.2,-0.461,0.617,85.2
"b02",-1.5,-0.236,0.362,91
"b11",0,0.04,0.456,94.9
"b12",-0.25,-0.02,0.323,95.2
"b21",0.2,0.037,0.215,92.5
"b22",0,-0.016,0.158,94.8
"b31",-0.15,-0.015,0.195,95.5
"b32",-0.15,-0.009,0.151,95.9
"b41",1.05,0.106,0.27,92.6
"b42",1.15,0.05,0.201,95.4
"b51",-0.45,-0.04,0.205,96.1
"b52",-0.15,0.012,0.173,91.9
