"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
42,"b51",-0.4736,0.1885,500,-2.51,"0.0123",0.05,-0.8439,-0.1033,0.000153
42,"b52",-0.3669,0.137,500,-2.68,"0.0076",0.05,-0.636,-0.09776,0.000108
42,"phi1",0.04142,0.2788,500,0.15,"0.8820",0.05,-0.5064,0.5893,0.000144
42,"phi2",-1.0845,0.5791,500,-1.87,"0.0617",0.05,-2.2224,0.05336,5.5e-05
43,"b01",-1.9641,0.2749,500,-7.14,"<.0001",0.05,-2.5042,-1.424,-9e-05
43,"b02",-1.5503,0.2346,500,-6.61,"<.0001",0.05,-2.0111,-1.0895,1.653e-06
43,"b11",-0.02654,0.3237,500,-0.08,"0.9347",0.05,-0.6625,0.6094,-8e-05
43,"b12",-0.1047,0.2803,500,-0.37,"0.7089",0.05,-0.6554,0.446,2.2e-05
43,"b21",0.1341,0.152,500,0.88,"0.3780",0.05,-0.1645,0.4327,-0.00011
43,"b22",0.1033,0.1283,500,0.81,"0.4211",0.05,-0.1488,0.3555,-0.00021
43,"b31",-0.018,0.1595,500,-0.11,"0.9102",0.05,-0.3313,0.2953,2.7e-05
43,"b32",-0.1979,0.1402,500,-1.41,"0.1589",0.05,-0.4734,0.07768,8.5e-05
43,"b41",0.9644,0.1646,500,5.86,"<.0001",0.05,0.6411,1.2877,-3e-05
43,"b42",0.9018,0.1476,500,6.11,"<.0001",0.05,0.6118,1.1918,-9e-05
43,"b51",-0.3982,0.1525,500,-2.61,"0.0093",0.05,-0.6979,-0.09857,-9e-05
43,"b52",0.06991,0.1341,500,0.52,"0.6025",0.05,-0.1936,0.3334,-9e-05
43,"phi1",-0.09918,0.3477,500,-0.29,"0.7756",0.05,-0.7822,0.5839,-2e-05
43,"phi2",-0.6502,0.5354,500,-1.21,"0.2251",0.05,-1.7021,0.4016,3e-05
44,"b01",-2.1226,0.309,500,-6.87,"<.0001",0.05,-2.7297,-1.5155,0.000135
44,"b02",-1.2497,0.2226,500,-5.62,"<.0001",0.05,-1.687,-0.8124,-6e-05
44,"b11",-0.103,0.3282,500,-0.31,"0.7538",0.05,-0.7478,0.5419,0.000236
44,"b12",-0.3911,0.2539,500,-1.54,"0.1241",0.05,-0.8899,0.1077,8.7e-05
44,"b21",0.2515,0.1454,500,1.73,"0.0844",0.05,-0.03428,0.5372,-0.00027
44,"b22",0.1867,0.1139,500,1.64,"0.1017",0.05,-0.03703,0.4103,0.000434
44,"b31",-0.3031,0.1618,500,-1.87,"0.0615",0.05,-0.6209,0.01468,-0.00039
44,"b32",-0.1426,0.1243,500,-1.15,"0.2519",0.05,-0.387,0.1017,-0.00013
44,"b41",1.1779,0.1881,500,6.26,"<.0001",0.05,0.8083,1.5475,0.000495
44,"b42",1.0463,0.1552,500,6.74,"<.0001",0.05,0.7414,1.3511,-0.00028
44,"b51",-0.4032,0.1704,500,-2.37,"0.0184",0.05,-0.7381,-0.0684,0.000592
44,"b52",-0.09688,0.133,500,-0.73,"0.4668",0.05,-0.3583,0.1645,-0.00065
44,"phi1",-0.06273,0.2902,500,-0.22,"0.8290",0.05,-0.633,0.5075,-4e-05
44,"phi2",-1.0577,0.6245,500,-1.69,"0.0910",0.05,-2.2847,0.1693,-1e-05
45,"b01",-2.342,0.3362,500,-6.97,"<.0001",0.05,-3.0026,-1.6814,4e-05
45,"b02",-1.647,0.2642,500,-6.23,"<.0001",0.05,-2.1662,-1.1278,5.425e-06
45,"b11",-0.5262,0.3804,500,-1.38,"0.1672",0.05,-1.2736,0.2212,3.2e-05
45,"b12",-0.2238,0.3005,500,-0.74,"0.4568",0.05,-0.8142,0.3666,1.1e-05
45,"b21",-0.01892,0.1739,500,-0.11,"0.9134",0.05,-0.3605,0.3227,-9e-05
45,"b22",0.00787,0.1454,500,0.05,"0.9569",0.05,-0.2779,0.2936,-2e-05
45,"b31",-0.06796,0.1803,500,-0.38,"0.7064",0.05,-0.4222,0.2863,-0.00011
45,"b32",-0.247,0.1495,500,-1.65,"0.0992",0.05,-0.5408,0.04681,-2e-05
45,"b41",1.2127,0.217,500,5.59,"<.0001",0.05,0.7862,1.6391,0.000106
45,"b42",1.1563,0.1664,500,6.95,"<.0001",0.05,0.8293,1.4833,-3e-05
45,"b51",-0.7175,0.1915,500,-3.75,"0.0002",0.05,-1.0939,-0.3412,0.00019
45,"b52",-0.09001,0.1474,500,-0.61,"0.5417",0.05,-0.3796,0.1996,2e-05
45,"phi1",-0.6458,0.814,500,-0.79,"0.4279",0.05,-2.245,0.9535,6.5e-05
45,"phi2",0.3073,0.7469,500,0.41,"0.6810",0.05,-1.1603,1.7748,2.8e-05
46,"b01",-2.0409,0.2741,500,-7.45,"<.0001",0.05,-2.5794,-1.5025,-0.00045
46,"b02",-1.6189,0.257,500,-6.3,"<.0001",0.05,-2.1238,-1.114,7.4e-05
46,"b11",-0.3298,0.2708,500,-1.22,"0.2239",0.05,-0.8618,0.2023,-0.00032
46,"b12",-0.2249,0.2917,500,-0.77,"0.4411",0.05,-0.7979,0.3482,0.000147
46,"b21",0.3018,0.1265,500,2.39,"0.0174",0.05,0.05328,0.5504,-9e-05
46,"b22",-0.1347,0.1288,500,-1.05,"0.2965",0.05,-0.3878,0.1185,9.7e-05
46,"b31",-0.1413,0.1286,500,-1.1,"0.2725",0.05,-0.3941,0.1114,0.000615
46,"b32",-0.136,0.1364,500,-1,"0.3192",0.05,-0.4041,0.132,-0.00026
