"parm","true","bias","rmse","coverage"
"b01",-2.2,-0.079,0.333,95.5
"b02",-1.5,-0.048,0.262,94.9
"b11",0,0.021,0.365,94.3
"b12",-0.25,0,0.288,95.4
"b21",0.2,0.005,0.171,94.2
"b22",0,-0.01,0.144,92.8
"b31",-0.15,-0.007,0.162,95.2
"b32",-0.15,-0.004,0.137,96.1
"b41",1.05,0.022,0.195,94.5
"b42",1.15,0.009,0.178,93.1
"b51",-0.45,0.007,0.162,96.5
"b52",-0.15,0,0.149,92.2
