"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
52,"b21",0.3888,0.1485,500,2.62,"0.0091",0.05,0.09714,0.6805,-6e-05
52,"b22",-0.01392,0.131,500,-0.11,"0.9154",0.05,-0.2713,0.2434,3.5e-05
52,"b31",-0.1499,0.154,500,-0.97,"0.3309",0.05,-0.4525,0.1527,-3.54e-06
52,"b32",-0.366,0.1404,500,-2.61,"0.0094",0.05,-0.6418,-0.09026,4.3e-05
52,"b41",0.8234,0.1719,500,4.79,"<.0001",0.05,0.4857,1.1611,-2e-05
52,"b42",0.6972,0.1502,500,4.64,"<.0001",0.05,0.4021,0.9923,-3e-05
52,"b51",-0.4963,0.1607,500,-3.09,"0.0021",0.05,-0.812,-0.1807,5.8e-05
52,"b52",-0.2688,0.1447,500,-1.86,"0.0639",0.05,-0.5531,0.01555,1.756e-06
53,"b01",-2.0274,0.3072,500,-6.6,"<.0001",0.05,-2.6311,-1.4238,0.000104
53,"b02",-1.2737,0.2465,500,-5.17,"<.0001",0.05,-1.7581,-0.7893,-0.00024
53,"b11",0.3363,0.3276,500,1.03,"0.3052",0.05,-0.3074,0.9799,-2e-05
53,"b12",-0.4852,0.287,500,-1.69,"0.0915",0.05,-1.049,0.07859,-0.00021
53,"b21",0.1032,0.1493,500,0.69,"0.4899",0.05,-0.1902,0.3966,-3e-05
53,"b22",0.2337,0.1433,500,1.63,"0.1037",0.05,-0.04796,0.5153,-1e-04
53,"b31",-0.1584,0.1351,500,-1.17,"0.2416",0.05,-0.4239,0.1071,5.5e-05
53,"b32",-0.08079,0.1276,500,-0.63,"0.5271",0.05,-0.3316,0.17,0.00041
53,"b41",1.037,0.1609,500,6.45,"<.0001",0.05,0.7209,1.3531,-8e-05
53,"b42",1.2682,0.1672,500,7.58,"<.0001",0.05,0.9397,1.5967,-6e-05
53,"b51",-0.5567,0.147,500,-3.79,"0.0002",0.05,-0.8455,-0.2679,-0.00073
53,"b52",-0.04394,0.1353,500,-0.32,"0.7455",0.05,-0.3097,0.2219,0.000431
54,"b01",-2.3268,0.3235,500,-7.19,"<.0001",0.05,-2.9624,-1.6912,7.7e-05
54,"b02",-1.2773,0.23,500,-5.55,"<.0001",0.05,-1.7291,-0.8254,-4e-05
54,"b11",0.1646,0.3475,500,0.47,"0.6360",0.05,-0.5183,0.8474,0.000222
