"parm","true","bias","rmse","coverage"
"b03",1.65,0.109,0.602,94.5
"b13",0.1,-0.022,0.369,98.7
"b23",-0.05,-0.044,0.23,95.1
"b33",0.1,0.013,0.158,99.3
"b43",-0.7,-0.176,0.382,95.7
"b53",0.15,0.087,0.249,96.8
