"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
114,"b43",-1.0447,0.5672,500,-1.84,0.0661,0.05,-2.1591,0.06964
114,"b53",0.3573,0.2372,500,1.51,0.1327,0.05,-0.1088,0.8234
115,"b03",1.936,0.5592,500,3.46,6e-04,0.05,0.8373,3.0346
115,"b13",0.4052,0.415,500,0.98,0.3293,0.05,-0.4101,1.2205
115,"b23",-0.4742,0.2638,500,-1.8,0.0729,0.05,-0.9926,0.04411
115,"b33",0.719,0.258,500,2.79,0.0055,0.05,0.212,1.2259
115,"b43",-1.0146,0.3721,500,-2.73,0.0066,0.05,-1.7458,-0.2835
115,"b53",0.5631,0.2521,500,2.23,0.0259,0.05,0.06784,1.0584
116,"b03",1.7735,0.585,500,3.03,0.0026,0.05,0.6241,2.9229
116,"b13",-0.09582,0.3478,500,-0.28,0.783,0.05,-0.7791,0.5875
116,"b23",-0.00288,0.1301,500,-0.02,0.9824,0.05,-0.2585,0.2527
116,"b33",0.1644,0.1431,500,1.15,0.2509,0.05,-0.1166,0.4455
116,"b43",-0.46,0.2375,500,-1.94,0.0533,0.05,-0.9266,0.006571
116,"b53",0.6172,0.4384,500,1.41,0.1598,0.05,-0.2441,1.4785
117,"b03",2.076,0.6146,500,3.38,"0.0008",0.05,0.8685,3.2835
117,"b13",-0.1447,0.45,500,-0.32,"0.7480",0.05,-1.0289,0.7395
117,"b23",0.4008,0.2382,500,1.68,"0.0930",0.05,-0.06712,0.8687
117,"b33",0.3511,0.2097,500,1.67,"0.0947",0.05,-0.06086,0.763
117,"b43",-1.3241,0.327,500,-4.05,"<.0001",0.05,-1.9666,-0.6817
117,"b53",-0.03668,0.2005,500,-0.18,"0.8549",0.05,-0.4306,0.3572
118,"b03",0.8401,0.5188,500,1.62,0.106,0.05,-0.1791,1.8593
118,"b13",0.1127,0.2768,500,0.41,0.6841,0.05,-0.4312,0.6566
118,"b23",-0.03671,0.08728,500,-0.42,0.6742,0.05,-0.2082,0.1348
118,"b33",0.06684,0.08093,500,0.83,0.4093,0.05,-0.09217,0.2259
118,"b43",-0.5054,0.335,500,-1.51,0.132,0.05,-1.1635,0.1528
118,"b53",-0.0045,0.1506,500,-0.03,0.9762,0.05,-0.3003,0.2913
119,"b03",1.2936,0.456,500,2.84,0.0047,0.05,0.3977,2.1895
119,"b13",0.3942,0.3177,500,1.24,0.2152,0.05,-0.2299,1.0183
119,"b23",0.212,0.1715,500,1.24,0.2169,0.05,-0.1249,0.549
119,"b33",0.1478,0.1532,500,0.96,0.3351,0.05,-0.1532,0.4487
119,"b43",-0.8842,0.3244,500,-2.73,0.0066,0.05,-1.5216,-0.2469
119,"b53",0.2358,0.1583,500,1.49,0.137,0.05,-0.07522,0.5467
120,"b03",0.9381,0.6572,500,1.43,0.1541,0.05,-0.353,2.2293
120,"b13",-0.05919,0.435,500,-0.14,0.8918,0.05,-0.9139,0.7955
120,"b23",-0.08203,0.1459,500,-0.56,0.5741,0.05,-0.3686,0.2045
120,"b33",-0.03857,0.1031,500,-0.37,0.7084,0.05,-0.2411,0.164
120,"b43",-0.2643,0.3889,500,-0.68,0.4972,0.05,-1.0284,0.4999
120,"b53",0.2891,0.2484,500,1.16,0.2451,0.05,-0.1989,0.7771
121,"b03",0.9388,0.4473,500,2.1,0.0363,0.05,0.05993,1.8178
121,"b13",0.09571,0.1799,500,0.53,0.5949,0.05,-0.2577,0.4492
121,"b23",0.03911,0.07901,500,0.5,0.6208,0.05,-0.1161,0.1943
121,"b33",0.022,0.09479,500,0.23,0.8166,0.05,-0.1642,0.2082
121,"b43",-0.3228,0.1843,500,-1.75,0.0804,0.05,-0.6848,0.03922
121,"b53",0.2323,0.2221,500,1.05,0.2961,0.05,-0.2041,0.6687
122,"b03",2.0862,0.5705,500,3.66,3e-04,0.05,0.9652,3.2071
122,"b13",0.2036,0.2446,500,0.83,0.4055,0.05,-0.277,0.6843
122,"b23",-0.1342,0.1942,500,-0.69,0.4897,0.05,-0.5157,0.2473
122,"b33",0.05642,0.1828,500,0.31,0.7577,0.05,-0.3027,0.4156
122,"b43",-0.9885,0.3953,500,-2.5,0.0127,0.05,-1.7651,-0.2118
122,"b53",0.3537,0.1877,500,1.88,0.0601,0.05,-0.01511,0.7226
