Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
b03,1.7523,0.1994,2938,8.79,<.0001,0.05,1.3612,2.1433
b13,0.2311,0.1156,2938,2.00,0.0457,0.05,0.004430,0.4578
b23,-0.02051,0.05494,2938,-0.37,0.7089,0.05,-0.1282,0.08721
b33,0.1031,0.05089,2938,2.03,0.0428,0.05,0.003348,0.2029
b43,-0.9171,0.1869,2938,-4.91,<.0001,0.05,-1.2835,-0.5506
b53,0.07818,0.07170,2938,1.09,0.2757,0.05,-0.06242,0.2188
