Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
b03,1.6858,0.2067,2938,8.16,<.0001,0.05,1.2805,2.0910
b13,0.1550,0.08079,2938,1.92,0.0552,0.05,-0.00343,0.3134
b23,-0.06239,0.04266,2938,-1.46,0.1437,0.05,-0.1460,0.02126
b33,0.08719,0.03359,2938,2.60,0.0095,0.05,0.02133,0.1530
b43,-0.7316,0.1699,2938,-4.31,<.0001,0.05,-1.0648,-0.3984
b53,0.1562,0.06738,2938,2.32,0.0205,0.05,0.02406,0.2883
