Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
b03,1.6957,0.2101,2938,8.07,<.0001,0.05,1.2838,2.1076
b13,0.1185,0.07511,2938,1.58,0.1147,0.05,-0.02875,0.2658
b23,-0.07158,0.04250,2938,-1.68,0.0923,0.05,-0.1549,0.01176
b33,0.08148,0.03452,2938,2.36,0.0183,0.05,0.01378,0.1492
b43,-0.6919,0.1653,2938,-4.19,<.0001,0.05,-1.0160,-0.3678
b53,0.1478,0.07040,2938,2.10,0.0359,0.05,0.009755,0.2858
b63,-0.00866,0.03248,2938,-0.27,0.7898,0.05,-0.07234,0.05502
b73,0.05680,0.03536,2938,1.61,0.1083,0.05,-0.01253,0.1261
b83,0.02186,0.03349,2938,0.65,0.5139,0.05,-0.04381,0.08753
